Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
11/8/2007,Aston Villa,Liverpool,1,2,0,1
11/8/2007,Bolton,Newcastle,1,3,0,3
11/8/2007,Derby,Portsmouth,2,2,1,1
11/8/2007,Everton,Wigan,2,1,1,0
11/8/2007,Middlesbrough,Blackburn,1,2,1,0
11/8/2007,Sunderland,Tottenham,1,0,0,0
11/8/2007,West Ham,Man City,0,2,0,1
12/8/2007,Arsenal,Fulham,2,1,0,1
12/8/2007,Chelsea,Birmingham,3,2,2,2
12/8/2007,Man United,Reading,0,0,0,0
14/08/07,Tottenham,Everton,1,3,1,3
15/08/07,Birmingham,Sunderland,2,2,1,0
15/08/07,Fulham,Bolton,2,1,2,1
15/08/07,Man City,Derby,1,0,1,0
15/08/07,Portsmouth,Man United,1,1,0,1
15/08/07,Reading,Chelsea,1,2,1,0
15/08/07,Wigan,Middlesbrough,1,0,0,0
18/08/07,Birmingham,West Ham,0,1,0,0
18/08/07,Fulham,Middlesbrough,1,2,1,0
18/08/07,Newcastle,Aston Villa,0,0,0,0
18/08/07,Portsmouth,Bolton,3,1,2,1
18/08/07,Reading,Everton,1,0,1,0
18/08/07,Tottenham,Derby,4,0,3,0
18/08/07,Wigan,Sunderland,3,0,1,0
19/08/07,Blackburn,Arsenal,1,1,0,1
19/08/07,Liverpool,Chelsea,1,1,1,0
19/08/07,Man City,Man United,1,0,1,0
25/08/07,Arsenal,Man City,1,0,0,0
25/08/07,Aston Villa,Fulham,2,1,0,1
25/08/07,Bolton,Reading,3,0,1,0
25/08/07,Chelsea,Portsmouth,1,0,1,0
25/08/07,Derby,Birmingham,1,2,0,1
25/08/07,Everton,Blackburn,1,1,0,1
25/08/07,Sunderland,Liverpool,0,2,0,1
25/08/07,West Ham,Wigan,1,1,0,0
26/08/07,Man United,Tottenham,1,0,0,0
26/08/07,Middlesbrough,Newcastle,2,2,1,1
1/9/2007,Bolton,Everton,1,2,0,1
1/9/2007,Fulham,Tottenham,3,3,1,2
1/9/2007,Liverpool,Derby,6,0,2,0
1/9/2007,Man United,Sunderland,1,0,0,0
1/9/2007,Middlesbrough,Birmingham,2,0,2,0
1/9/2007,Newcastle,Wigan,1,0,0,0
1/9/2007,Reading,West Ham,0,3,0,1
2/9/2007,Arsenal,Portsmouth,3,1,2,0
2/9/2007,Aston Villa,Chelsea,2,0,0,0
2/9/2007,Blackburn,Man City,1,0,1,0
15/09/07,Birmingham,Bolton,1,0,1,0
15/09/07,Chelsea,Blackburn,0,0,0,0
15/09/07,Everton,Man United,0,1,0,0
15/09/07,Portsmouth,Liverpool,0,0,0,0
15/09/07,Sunderland,Reading,2,1,1,0
15/09/07,Tottenham,Arsenal,1,3,1,0
15/09/07,West Ham,Middlesbrough,3,0,0,0
15/09/07,Wigan,Fulham,1,1,0,1
16/09/07,Man City,Aston Villa,1,0,0,0
17/09/07,Derby,Newcastle,1,0,1,0
22/09/07,Arsenal,Derby,5,0,2,0
22/09/07,Fulham,Man City,3,3,1,1
22/09/07,Liverpool,Birmingham,0,0,0,0
22/09/07,Middlesbrough,Sunderland,2,2,1,1
22/09/07,Reading,Wigan,2,1,1,0
23/09/07,Aston Villa,Everton,2,0,1,0
23/09/07,Blackburn,Portsmouth,0,1,0,1
