Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
23/09/07,Bolton,Tottenham,1,1,1,1
23/09/07,Man United,Chelsea,2,0,1,0
23/09/07,Newcastle,West Ham,3,1,2,1
29/09/07,Birmingham,Man United,0,1,0,0
29/09/07,Chelsea,Fulham,0,0,0,0
29/09/07,Derby,Bolton,1,1,1,1
29/09/07,Man City,Newcastle,3,1,1,1
29/09/07,Portsmouth,Reading,7,4,2,1
29/09/07,Sunderland,Blackburn,1,2,0,0
29/09/07,West Ham,Arsenal,0,1,0,1
29/09/07,Wigan,Liverpool,0,1,0,0
30/09/07,Everton,Middlesbrough,2,0,1,0
1/10/2007,Tottenham,Aston Villa,4,4,1,3
6/10/2007,Aston Villa,West Ham,1,0,1,0
6/10/2007,Man United,Wigan,4,0,0,0
7/10/2007,Arsenal,Sunderland,3,2,2,1
7/10/2007,Blackburn,Birmingham,2,1,1,0
7/10/2007,Bolton,Chelsea,0,1,0,1
7/10/2007,Fulham,Portsmouth,0,2,0,0
7/10/2007,Liverpool,Tottenham,2,2,1,1
7/10/2007,Man City,Middlesbrough,3,1,2,0
7/10/2007,Newcastle,Everton,3,2,1,0
7/10/2007,Reading,Derby,1,0,0,0
20/10/07,Arsenal,Bolton,2,0,0,0
20/10/07,Aston Villa,Man United,1,4,1,3
20/10/07,Blackburn,Reading,4,2,3,0
20/10/07,Everton,Liverpool,1,2,1,0
20/10/07,Fulham,Derby,0,0,0,0
20/10/07,Man City,Birmingham,1,0,1,0
20/10/07,Middlesbrough,Chelsea,0,2,0,1
20/10/07,Wigan,Portsmouth,0,2,0,0
21/10/07,West Ham,Sunderland,3,1,1,0
22/10/07,Newcastle,Tottenham,3,1,1,0
27/10/07,Birmingham,Wigan,3,2,1,1
27/10/07,Chelsea,Man City,6,0,2,0
27/10/07,Man United,Middlesbrough,4,1,2,1
27/10/07,Portsmouth,West Ham,0,0,0,0
27/10/07,Reading,Newcastle,2,1,0,0
27/10/07,Sunderland,Fulham,1,1,0,1
28/10/07,Bolton,Aston Villa,1,1,1,0
28/10/07,Derby,Everton,0,2,0,1
28/10/07,Liverpool,Arsenal,1,1,1,0
28/10/07,Tottenham,Blackburn,1,2,0,0
3/11/2007,Arsenal,Man United,2,2,0,1
3/11/2007,Aston Villa,Derby,2,0,0,0
3/11/2007,Blackburn,Liverpool,0,0,0,0
3/11/2007,Everton,Birmingham,3,1,1,0
3/11/2007,Fulham,Reading,3,1,1,0
3/11/2007,Middlesbrough,Tottenham,1,1,0,1
3/11/2007,Newcastle,Portsmouth,1,4,1,3
3/11/2007,Wigan,Chelsea,0,2,0,2
4/11/2007,West Ham,Bolton,1,1,1,0
5/11/2007,Man City,Sunderland,1,0,0,0
10/11/2007,Derby,West Ham,0,5,0,1
10/11/2007,Liverpool,Fulham,2,0,0,0
10/11/2007,Sunderland,Newcastle,1,1,0,0
11/11/2007,Birmingham,Aston Villa,1,2,0,1
11/11/2007,Bolton,Middlesbrough,0,0,0,0
11/11/2007,Chelsea,Everton,1,1,0,0
11/11/2007,Man United,Blackburn,2,0,2,0
11/11/2007,Portsmouth,Man City,0,0,0,0
11/11/2007,Tottenham,Wigan,4,0,3,0
12/11/2007,Reading,Arsenal,1,3,0,1
24/11/07,Arsenal,Wigan,2,0,0,0
24/11/07,Birmingham,Portsmouth,0,2,0,1
24/11/07,Bolton,Man United,1,0,1,0
24/11/07,Derby,Chelsea,0,2,0,1
24/11/07,Everton,Sunderland,7,1,3,1
24/11/07,Man City,Reading,2,1,1,1
24/11/07,Middlesbrough,Aston Villa,0,3,0,1
24/11/07,Newcastle,Liverpool,0,3,0,1
25/11/07,Fulham,Blackburn,2,2,0,0
25/11/07,West Ham,Tottenham,1,1,1,0
28/11/07,Blackburn,Aston Villa,0,4,0,1
1/12/2007,Aston Villa,Arsenal,1,2,1,2
1/12/2007,Blackburn,Newcastle,3,1,0,0
1/12/2007,Chelsea,West Ham,1,0,0,0
1/12/2007,Portsmouth,Everton,0,0,0,0
1/12/2007,Reading,Middlesbrough,1,1,0,0
1/12/2007,Sunderland,Derby,1,0,0,0
1/12/2007,Wigan,Man City,1,1,1,1
2/12/2007,Liverpool,Bolton,4,0,2,0
2/12/2007,Tottenham,Birmingham,2,3,0,1
3/12/2007,Man United,Fulham,2,0,1,0
5/12/2007,Newcastle,Arsenal,1,1,0,1
8/12/2007,Aston Villa,Portsmouth,1,3,0,2
8/12/2007,Chelsea,Sunderland,2,0,1,0
8/12/2007,Everton,Fulham,3,0,0,0
8/12/2007,Man United,Derby,4,1,2,0
8/12/2007,Newcastle,Birmingham,2,1,1,1
8/12/2007,Reading,Liverpool,3,1,1,1
9/12/2007,Blackburn,West Ham,0,1,0,0
9/12/2007,Bolton,Wigan,4,1,2,1
9/12/2007,Middlesbrough,Arsenal,2,1,1,0
9/12/2007,Tottenham,Man City,2,1,1,0
15/12/07,Birmingham,Reading,1,1,1,0
15/12/07,Derby,Middlesbrough,0,1,0,1
15/12/07,Fulham,Newcastle,0,1,0,0
15/12/07,Man City,Bolton,4,2,1,2
15/12/07,Portsmouth,Tottenham,0,1,0,0
15/12/07,Sunderland,Aston Villa,1,1,1,0
15/12/07,West Ham,Everton,0,2,0,1
15/12/07,Wigan,Blackburn,5,3,3,1
16/12/07,Arsenal,Chelsea,1,0,1,0
16/12/07,Liverpool,Man United,0,1,0,1
22/12/07,Arsenal,Tottenham,2,1,0,0
22/12/07,Aston Villa,Man City,1,1,1,1
22/12/07,Bolton,Birmingham,3,0,0,0
22/12/07,Fulham,Wigan,1,1,0,0
22/12/07,Liverpool,Portsmouth,4,1,2,0
22/12/07,Middlesbrough,West Ham,1,2,1,1
22/12/07,Reading,Sunderland,2,1,0,0
23/12/07,Blackburn,Chelsea,0,1,0,1
23/12/07,Man United,Everton,2,1,1,1
23/12/07,Newcastle,Derby,2,2,1,1
26/12/07,Birmingham,Middlesbrough,3,0,2,0
26/12/07,Chelsea,Aston Villa,4,4,1,2
26/12/07,Derby,Liverpool,1,2,0,1
26/12/07,Everton,Bolton,2,0,0,0
26/12/07,Portsmouth,Arsenal,0,0,0,0
26/12/07,Sunderland,Man United,0,4,0,3
26/12/07,Tottenham,Fulham,5,1,2,0
26/12/07,West Ham,Reading,1,1,1,0
26/12/07,Wigan,Newcastle,1,0,0,0
27/12/07,Man City,Blackburn,2,2,2,1
29/12/07,Birmingham,Fulham,1,1,0,1
29/12/07,Chelsea,Newcastle,2,1,1,0
29/12/07,Everton,Arsenal,1,4,1,0
29/12/07,Portsmouth,Middlesbrough,0,1,0,1
29/12/07,Sunderland,Bolton,3,1,2,1
29/12/07,Tottenham,Reading,6,4,1,1
29/12/07,West Ham,Man United,2,1,0,1
29/12/07,Wigan,Aston Villa,1,2,1,0
30/12/07,Derby,Blackburn,1,2,1,2
30/12/07,Man City,Liverpool,0,0,0,0
1/1/2008,Arsenal,West Ham,2,0,2,0
1/1/2008,Aston Villa,Tottenham,2,1,1,0
1/1/2008,Fulham,Chelsea,1,2,1,0
1/1/2008,Man United,Birmingham,1,0,1,0
1/1/2008,Middlesbrough,Everton,0,2,0,0
1/1/2008,Reading,Portsmouth,0,2,0,1
2/1/2008,Blackburn,Sunderland,1,0,0,0
2/1/2008,Bolton,Derby,1,0,0,0
2/1/2008,Liverpool,Wigan,1,1,0,0
2/1/2008,Newcastle,Man City,0,2,0,1
12/1/2008,Arsenal,Birmingham,1,1,1,0
12/1/2008,Aston Villa,Reading,3,1,1,0
12/1/2008,Chelsea,Tottenham,2,0,1,0
12/1/2008,Derby,Wigan,0,1,0,0
12/1/2008,Everton,Man City,1,0,1,0
12/1/2008,Man United,Newcastle,6,0,0,0
12/1/2008,Middlesbrough,Liverpool,1,1,1,0
12/1/2008,West Ham,Fulham,2,1,1,1
13/01/08,Bolton,Blackburn,1,2,1,0
13/01/08,Sunderland,Portsmouth,2,0,2,0
19/01/08,Birmingham,Chelsea,0,1,0,0
19/01/08,Blackburn,Middlesbrough,1,1,0,1
19/01/08,Fulham,Arsenal,0,3,0,2
19/01/08,Newcastle,Bolton,0,0,0,0
19/01/08,Portsmouth,Derby,3,1,2,1
19/01/08,Reading,Man United,0,2,0,0
19/01/08,Tottenham,Sunderland,2,0,1,0
20/01/08,Man City,West Ham,1,1,1,1
20/01/08,Wigan,Everton,1,2,0,2
21/01/08,Liverpool,Aston Villa,2,2,1,0
26/01/08,Aston Villa,Blackburn,1,1,0,0
29/01/08,Arsenal,Newcastle,3,0,1,0
29/01/08,Bolton,Fulham,0,0,0,0
29/01/08,Middlesbrough,Wigan,1,0,1,0
29/01/08,Sunderland,Birmingham,2,0,1,0
30/01/08,Chelsea,Reading,1,0,1,0
30/01/08,Derby,Man City,1,1,0,0
30/01/08,Everton,Tottenham,0,0,0,0
30/01/08,Man United,Portsmouth,2,0,2,0
30/01/08,West Ham,Liverpool,1,0,0,0
2/2/2008,Birmingham,Derby,1,1,0,0
2/2/2008,Blackburn,Everton,0,0,0,0
2/2/2008,Liverpool,Sunderland,3,0,0,0
2/2/2008,Man City,Arsenal,1,3,1,2
2/2/2008,Portsmouth,Chelsea,1,1,0,0
2/2/2008,Reading,Bolton,0,2,0,1
2/2/2008,Tottenham,Man United,1,1,1,0
2/2/2008,Wigan,West Ham,1,0,1,0
3/2/2008,Fulham,Aston Villa,2,1,0,0
3/2/2008,Newcastle,Middlesbrough,1,1,0,0
9/2/2008,Aston Villa,Newcastle,4,1,0,1
9/2/2008,Bolton,Portsmouth,0,1,0,0
9/2/2008,Derby,Tottenham,0,3,0,0
9/2/2008,Everton,Reading,1,0,0,0
9/2/2008,Middlesbrough,Fulham,1,0,1,0
9/2/2008,Sunderland,Wigan,2,0,1,0
9/2/2008,West Ham,Birmingham,1,1,1,1
10/2/2008,Chelsea,Liverpool,0,0,0,0
10/2/2008,Man United,Man City,1,2,0,2
11/2/2008,Arsenal,Blackburn,2,0,1,0
23/02/08,Birmingham,Arsenal,2,2,1,0
23/02/08,Fulham,West Ham,0,1,0,0
23/02/08,Liverpool,Middlesbrough,3,2,2,1
23/02/08,Newcastle,Man United,1,5,0,2
23/02/08,Portsmouth,Sunderland,1,0,0,0
23/02/08,Wigan,Derby,2,0,0,0
24/02/08,Blackburn,Bolton,4,1,1,0
24/02/08,Reading,Aston Villa,1,2,0,1
25/02/08,Man City,Everton,0,2,0,2
1/3/2008,Arsenal,Aston Villa,1,1,0,1
1/3/2008,Birmingham,Tottenham,4,1,1,0
1/3/2008,Derby,Sunderland,0,0,0,0
1/3/2008,Fulham,Man United,0,3,0,2
1/3/2008,Man City,Wigan,0,0,0,0
1/3/2008,Middlesbrough,Reading,0,1,0,0
1/3/2008,Newcastle,Blackburn,0,1,0,0
1/3/2008,West Ham,Chelsea,0,4,0,3
2/3/2008,Bolton,Liverpool,1,3,0,1
2/3/2008,Everton,Portsmouth,3,1,1,1
5/3/2008,Liverpool,West Ham,4,0,1,0
8/3/2008,Blackburn,Fulham,1,1,0,0
8/3/2008,Liverpool,Newcastle,3,0,2,0
8/3/2008,Reading,Man City,2,0,0,0
9/3/2008,Sunderland,Everton,0,1,0,0
9/3/2008,Tottenham,West Ham,4,0,2,0
9/3/2008,Wigan,Arsenal,0,0,0,0
12/3/2008,Aston Villa,Middlesbrough,1,1,0,1
12/3/2008,Chelsea,Derby,6,1,2,0
12/3/2008,Portsmouth,Birmingham,4,2,2,2
15/03/08,Arsenal,Middlesbrough,1,1,0,1
15/03/08,Derby,Man United,0,1,0,0
15/03/08,Liverpool,Reading,2,1,1,1
15/03/08,Portsmouth,Aston Villa,2,0,2,0
15/03/08,Sunderland,Chelsea,0,1,0,1
15/03/08,West Ham,Blackburn,2,1,1,1
16/03/08,Fulham,Everton,1,0,0,0
16/03/08,Man City,Tottenham,2,1,0,1
16/03/08,Wigan,Bolton,1,0,1,0
17/03/08,Birmingham,Newcastle,1,1,1,0
19/03/08,Man United,Bolton,2,0,2,0
19/03/08,Tottenham,Chelsea,4,4,1,2
22/03/08,Aston Villa,Sunderland,0,1,0,0
22/03/08,Blackburn,Wigan,3,1,2,1
22/03/08,Bolton,Man City,0,0,0,0
22/03/08,Everton,West Ham,1,1,1,0
22/03/08,Middlesbrough,Derby,1,0,1,0
22/03/08,Newcastle,Fulham,2,0,1,0
22/03/08,Reading,Birmingham,2,1,1,0
22/03/08,Tottenham,Portsmouth,2,0,0,0
23/03/08,Chelsea,Arsenal,2,1,0,0
23/03/08,Man United,Liverpool,3,0,1,0
29/03/08,Birmingham,Man City,3,1,1,0
29/03/08,Bolton,Arsenal,2,3,2,0
29/03/08,Derby,Fulham,2,2,1,1
29/03/08,Man United,Aston Villa,4,0,2,0
29/03/08,Portsmouth,Wigan,2,0,1,0
29/03/08,Reading,Blackburn,0,0,0,0
29/03/08,Sunderland,West Ham,2,1,1,1
30/03/08,Chelsea,Middlesbrough,1,0,1,0
30/03/08,Liverpool,Everton,1,0,1,0
30/03/08,Tottenham,Newcastle,1,4,1,1
5/4/2008,Arsenal,Liverpool,1,1,0,1
5/4/2008,Aston Villa,Bolton,4,0,1,0
5/4/2008,Blackburn,Tottenham,1,1,1,1
5/4/2008,Fulham,Sunderland,1,3,0,1
5/4/2008,Man City,Chelsea,0,2,0,1
5/4/2008,Newcastle,Reading,3,0,2,0
5/4/2008,Wigan,Birmingham,2,0,1,0
6/4/2008,Everton,Derby,1,0,0,0
6/4/2008,Middlesbrough,Man United,2,2,1,1
8/4/2008,West Ham,Portsmouth,0,1,0,0
12/4/2008,Birmingham,Everton,1,1,0,0
12/4/2008,Bolton,West Ham,1,0,0,0
12/4/2008,Derby,Aston Villa,0,6,0,3
12/4/2008,Portsmouth,Newcastle,0,0,0,0
12/4/2008,Reading,Fulham,0,2,0,1
12/4/2008,Sunderland,Man City,1,2,0,0
12/4/2008,Tottenham,Middlesbrough,1,1,1,0
13/04/08,Liverpool,Blackburn,3,1,0,0
13/04/08,Man United,Arsenal,2,1,0,0
14/04/08,Chelsea,Wigan,1,1,0,0
17/04/08,Everton,Chelsea,0,1,0,1
19/04/08,Arsenal,Reading,2,0,2,0
19/04/08,Blackburn,Man United,1,1,1,0
19/04/08,Fulham,Liverpool,0,2,0,1
19/04/08,Middlesbrough,Bolton,0,1,0,0
19/04/08,West Ham,Derby,2,1,1,0
19/04/08,Wigan,Tottenham,1,1,1,1
20/04/08,Aston Villa,Birmingham,5,1,2,0
20/04/08,Man City,Portsmouth,3,1,2,1
20/04/08,Newcastle,Sunderland,2,0,2,0
26/04/08,Birmingham,Liverpool,2,2,1,0
26/04/08,Chelsea,Man United,2,1,1,0
26/04/08,Man City,Fulham,2,3,2,0
26/04/08,Sunderland,Middlesbrough,3,2,2,1
26/04/08,Tottenham,Bolton,1,1,0,0
26/04/08,West Ham,Newcastle,2,2,2,2
26/04/08,Wigan,Reading,0,0,0,0
27/04/08,Everton,Aston Villa,2,2,0,0
27/04/08,Portsmouth,Blackburn,0,1,0,0
28/04/08,Derby,Arsenal,2,6,1,2
3/5/2008,Aston Villa,Wigan,0,2,0,0
3/5/2008,Blackburn,Derby,3,1,1,1
3/5/2008,Bolton,Sunderland,2,0,1,0
3/5/2008,Fulham,Birmingham,2,0,0,0
3/5/2008,Man United,West Ham,4,1,3,1
3/5/2008,Middlesbrough,Portsmouth,2,0,1,0
3/5/2008,Reading,Tottenham,0,1,0,1
4/5/2008,Arsenal,Everton,1,0,0,0
4/5/2008,Liverpool,Man City,1,0,0,0
5/5/2008,Newcastle,Chelsea,0,2,0,0
11/5/2008,Birmingham,Blackburn,4,1,1,0
11/5/2008,Chelsea,Bolton,1,1,0,0
11/5/2008,Derby,Reading,0,4,0,1
11/5/2008,Everton,Newcastle,3,1,1,0
11/5/2008,Middlesbrough,Man City,8,1,2,0
11/5/2008,Portsmouth,Fulham,0,1,0,0
11/5/2008,Sunderland,Arsenal,0,1,0,1
11/5/2008,Tottenham,Liverpool,0,2,0,0
11/5/2008,West Ham,Aston Villa,2,2,1,1
11/5/2008,Wigan,Man United,0,2,0,1
